Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-24 18:57:09,2018-09-24 18:57:24,15.199s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-24 18:57:09,2018-09-24 18:57:24,14.827s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-24 18:57:09,2018-09-24 18:57:14,4.984s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-24 18:57:14,2018-09-24 18:57:17,2.692s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-24 18:57:17,2018-09-24 18:57:18,0.751s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 18:57:18,2018-09-24 18:57:18,0.119s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-24 18:57:18,2018-09-24 18:57:19,1.180s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 18:57:19,2018-09-24 18:57:20,0.723s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 18:57:20,2018-09-24 18:57:22,2.090s,PASSED
click,Chrome 69.0.3497.100,,2018-09-24 18:57:22,2018-09-24 18:57:23,1.147s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-24 18:57:23,2018-09-24 18:57:24,0.697s,PASSED
